feature_name,source_day,spread_signal,spread_partial_r,spread_conferences,ou_signal,ou_partial_r,ou_conferences,moneyline_variance_signal,yoy_stability_r,yoy_verdict,role,ambiguity_flag,final_decision,decision_justification,model_layer,prior_type,prior_mean,prior_sd,prior_justification,conference_scope,threshold_spec,null_handling
close_game_epa_per_play,8,yes,0.6566,all,yes,0.4292,all,no,0.4331,not_applicable,anchor,no,include,"Anchor pair confirmed: spread r=0.5988 at conf game 1, trajectory holds, YoY r=0.4331.",game_level,normal,0.0,0.5,Game-level anchor; weakly informative normal centered at zero; scale informed by partial r=0.5988 and YoY r=0.4331.,all,,not_applicable
close_game_def_epa_per_play,8,yes,-0.6562,all,yes,0.4489,all,no,0.4224,not_applicable,anchor,no,include,"Anchor pair confirmed: spread r=-0.6134 at conf game 1, trajectory holds, YoY r=0.4224.",game_level,normal,0.0,0.5,Game-level anchor; weakly informative normal centered at zero; scale informed by partial r=-0.6134 and YoY r=0.4224.,all,,not_applicable
last3_off_epa_avg,8,yes,0.2772,"ACC,Mid-American,SEC",no,0.0681,,no,,not_applicable,conference_specific,yes,include,"Conference-specific spread signal in ACC, Mid-American, SEC; null at conf game 1.",game_level,normal,0.0,0.3,"Conference-specific spread signal (ACC, Mid-American, SEC); null at conf game 1; weakly informative normal.","ACC,Mid-American,SEC",,impute_season_prior
last3_def_epa_avg,8,yes,-0.2204,"American Athletic,Big Ten,Conference USA,Mid-American,Pac-12,Sun Belt",yes,0.1084,all,no,,not_applicable,conference_specific,yes,include,"Conference-specific spread signal in American Athletic, Big Ten, Conference USA, Mid-American, Pac-12, Sun Belt; null at conf game 1.",game_level,normal,0.0,0.3,"Conference-specific spread signal (American Athletic, Big Ten, Conference USA, Mid-American, Pac-12, Sun Belt); null at conf game 1; weakly informative normal.","American Athletic,Big Ten,Conference USA,Mid-American,Pac-12,Sun Belt",,impute_season_prior
sp_rating,9,no,,,no,,,no,0.774,stable,prior_seed,no,include,SP+ prior seed: YoY r=0.7740; prior remains relevant through games 9-12; do not aggressively down-weight.,team,normal,0.0,1.0,Prior seed: YoY r=0.7740; informative prior centered at SP+ preseason rating; does not decay monotonically — weight maintained through games 9-12.,all,,impute_season_prior
recruiting_3yr_avg,9,no,,,no,,,no,0.9779,stable,prior_seed,no,include,Extremely stable prior seed (YoY r=0.9779); moderate weight in Big Ten and SEC; negative direction in Sun Belt.,team,normal,0.0,0.5,Prior seed: YoY r=0.9779; informative prior; moderate weight in Big Ten and SEC; low weight elsewhere; non-positive direction in Sun Belt (do not use as positive signal).,all,,impute_season_prior
away_elevation_delta_ft,11,yes,0.1518,"Mountain West,Big 12",no,,,no,0.8258,stable,anchor,no,include,"Threshold-activated anchor (>=2000ft): spread r=0.1518, YoY r=0.8255; signal concentrates in Mountain West and Big 12.",game_level,normal,0.0,0.3,Threshold-activated anchor (>=2000ft); YoY r=0.8255; weakly informative normal; effect expected negative for visiting team.,"Mountain West,Big 12",away_elevation_delta_ft >= 2000,zero
away_travel_distance_mi,11,yes,0.2011,all,no,,,no,0.6565,unstable,supporting,no,include,"Threshold-activated supporting (>=1500mi): spread r=0.2011, YoY r=0.6562; spread signal only.",game_level,normal,0.0,0.3,Threshold-activated supporting (>=1500mi); spread r=0.2011; YoY r=0.6562; weakly informative normal.,all,away_travel_distance_mi >= 1500,zero
away_tz_delta_hrs,11,yes,-0.2669,all,no,,,no,0.671,unstable,supporting,no,include,"Threshold-activated supporting (abs>=2hr): spread r=-0.2669, YoY r=0.6710; spread signal only.",game_level,normal,0.0,0.3,Threshold-activated supporting (abs>=2hr); spread r=-0.2669; YoY r=0.6710; weakly informative normal; direction negative.,all,abs(away_tz_delta_hrs) >= 2,zero
wind_chill,11,no,,,yes,0.1141,all,no,,not_applicable,supporting,no,include,"O/U signal only at <=40F (r=0.1122), strengthens at <=25F (r=0.3373); no spread signal.",game_level,normal,0.0,0.2,"O/U supporting only; triggered at <=40F (r=0.1122), strengthens at <=25F (r=0.3373); weakly informative normal.",all,wind_chill <= 40 AND NOT is_dome,zero
